avgBitrate,maxBitrate,minBitrate,q25_bitrate,q50_bitrate,q75_bitrate,q90_bitrate,avgBuffer,maxBuffer,minBuffer,q25_buffer,q50_buffer,q75_buffer,q90_buffer,numOfStallings,avgStalling,maxStalling,minStalling,q25_stalling,q50_stalling,q75_stalling,q90_stalling,score
529.5,529.5,529.5,529.5,529.5,529.5,529.5,23.45813546,47.132334,0,11.62018375,23.4515775,35.28032475,42.3977212,1,0,0,0,0,0,0,0,4
529.5,529.5,529.5,529.5,529.5,529.5,529.5,23.48944042,47.129434,0,11.654512,23.4960775,35.31954825,42.4162674,1,0,0,0,0,0,0,0,4
529.5,529.5,529.5,529.5,529.5,529.5,529.5,25.98515581,52.139385,0,12.855466,25.996946,39.107281,46.9329692,1,0,0,0,0,0,0,0,4
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.11494957,52.202445,0,13.036677,26.131001,39.194644,47.0620874,1,0,0,0,0,0,0,0,3.8
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.00872753,52.133951,0,12.970598,26.047979,39.032656,46.9088098,1,0,0,0,0,0,0,0,3.7
529.5,529.5,529.5,529.5,529.5,529.5,529.5,23.45813546,47.132334,0,11.62018375,23.4515775,35.28032475,42.3977212,1,0,0,0,0,0,0,0,4
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.11494957,52.202445,0,13.036677,26.131001,39.194644,47.0620874,1,0,0,0,0,0,0,0,3.8
529.5,529.5,529.5,529.5,529.5,529.5,529.5,23.45813546,47.132334,0,11.62018375,23.4515775,35.28032475,42.3977212,1,0,0,0,0,0,0,0,4
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.11494957,52.202445,0,13.036677,26.131001,39.194644,47.0620874,1,0,0,0,0,0,0,0,3.5
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.11494957,52.202445,0,13.036677,26.131001,39.194644,47.0620874,1,0,0,0,0,0,0,0,3.2
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.35420139,52.208333,0,13.02201625,26.382654,39.70310825,47.6921686,2,0.3759345,0.751869,0,0.18796725,0.3759345,0.56390175,0.6766821,2.8
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.35420139,52.208333,0,13.02201625,26.382654,39.70310825,47.6921686,2,0.3759345,0.751869,0,0.18796725,0.3759345,0.56390175,0.6766821,2.9
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.35420139,52.208333,0,13.02201625,26.382654,39.70310825,47.6921686,2,0.3759345,0.751869,0,0.18796725,0.3759345,0.56390175,0.6766821,2.5
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.35420139,52.208333,0,13.02201625,26.382654,39.70310825,47.6921686,2,0.3759345,0.751869,0,0.18796725,0.3759345,0.56390175,0.6766821,2.8
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.35420139,52.208333,0,13.02201625,26.382654,39.70310825,47.6921686,2,0.3759345,0.751869,0,0.18796725,0.3759345,0.56390175,0.6766821,2.5
529.5,529.5,529.5,529.5,529.5,529.5,529.5,26.35420139,52.208333,0,13.02201625,26.382654,39.70310825,47.6921686,2,0.3759345,0.751869,0,0.18796725,0.3759345,0.56390175,0.6766821,2.5
2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,1,0,0,0,0,0,0,0,3.8
2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,1,0,0,0,0,0,0,0,4
2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,1,0,0,0,0,0,0,0,3.9
2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,1,0,0,0,0,0,0,0,4
2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,1,0,0,0,0,0,0,0,4
2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,2793.167,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,0.789333,1,0,0,0,0,0,0,0,2
537.5514921,1036.744,529.5,529.5,529.5,529.5,529.5,28.72726664,57.45504311,0,14.34571627,28.73183107,43.11310063,51.72882599,1,0,0,0,0,0,0,0,2.6
